,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
53,0.75,0.5,1.75,4.0,3.75,1.25,0.0,0.25,0.25,0.5,1.75,4.0,4.25,1.75,1.75,0.75,0.75,0.75,2.75,4.0,4.0,3.5,2.5,0.75,0.75,3.5,3.75,3.75,3.25,3.25,3.0,1.25,0.0,1.25,1.5,3.25,3.5,2.25,0.5,0.75,0.75,1.0,1.75,2.25,2.0,1.75,1.0,1.25,1.25,1.5,1.0,1.25,1.0,1.0,0.5,1.0,1.0,0.75,1.25,1.25,0.75,1.0,0.75,2.0
54,0.0,0.5,1.25,4.0,3.5,1.25,0.25,0.0,0.25,0.5,1.0,3.5,3.75,1.75,1.25,0.75,0.25,0.0,3.25,3.75,3.75,3.5,3.25,0.5,0.0,3.25,3.5,3.5,3.5,2.75,2.0,0.5,0.75,1.0,1.5,3.5,3.25,2.25,0.25,0.0,0.25,1.0,1.75,2.0,1.25,1.25,1.0,0.5,1.0,1.0,0.75,1.0,0.5,0.25,0.25,1.25,1.25,1.0,0.75,0.25,0.75,0.5,1.0,0.5
55,0.5,0.5,2.0,4.25,4.0,1.25,0.25,0.25,0.75,0.5,1.25,3.75,4.25,3.0,2.0,1.0,0.0,0.25,3.25,4.25,4.5,3.75,3.75,1.5,1.0,3.25,3.75,3.75,3.25,3.25,1.5,1.0,0.75,1.5,1.75,3.5,3.5,2.5,0.5,0.5,0.75,1.0,1.75,2.0,1.5,1.75,1.0,0.75,1.0,1.0,0.75,1.25,1.0,0.75,1.0,1.0,1.0,1.25,1.5,0.75,1.0,1.25,1.0,1.75
56,0.5,1.25,1.75,4.5,3.25,1.25,0.0,0.75,0.75,1.0,1.25,4.0,4.25,2.0,1.5,1.25,0.75,0.75,3.0,4.0,4.0,3.75,3.0,1.0,0.25,3.25,3.75,4.0,3.75,2.75,2.5,1.25,1.0,1.75,1.75,3.25,3.5,2.5,0.5,0.25,0.5,1.0,1.25,2.25,1.5,1.25,1.5,1.5,1.75,1.25,1.25,1.5,1.0,0.75,1.25,1.25,1.0,1.25,1.0,0.75,1.25,0.75,1.0,1.0
57,0.5,0.75,1.5,4.75,3.25,0.5,0.0,0.25,0.0,0.75,1.5,3.5,3.5,1.25,1.0,0.5,0.25,0.5,2.5,3.75,4.0,3.0,2.5,0.75,0.0,3.25,3.75,3.75,3.25,2.75,2.25,0.75,0.25,0.75,1.75,2.75,3.25,2.5,0.25,0.0,0.75,1.0,1.75,2.25,1.5,1.25,0.75,1.0,1.0,0.25,0.5,1.25,0.75,0.25,0.25,0.75,0.75,0.75,1.0,1.0,0.25,0.5,0.75,1.25
58,0.5,1.25,1.75,4.5,3.5,1.5,0.0,0.5,0.5,1.0,2.0,4.0,4.0,1.75,1.5,1.25,0.75,1.0,3.25,4.25,4.5,4.0,3.25,1.0,0.75,3.25,4.0,4.0,3.75,3.25,3.0,1.5,1.0,1.5,2.0,3.75,3.5,2.75,0.25,0.75,1.0,1.25,2.0,2.5,2.25,1.75,1.25,1.75,1.25,0.75,1.75,1.5,1.0,1.0,1.25,1.5,1.75,1.5,1.5,1.0,1.25,1.0,1.25,1.25
59,0.0,1.0,1.5,4.25,3.5,1.25,0.0,0.5,0.25,0.75,1.0,3.75,3.75,2.25,1.25,1.25,0.0,0.25,2.75,4.0,3.5,3.75,3.5,1.25,0.5,2.75,3.75,4.0,3.75,3.5,1.75,1.0,0.75,1.25,1.75,3.0,3.0,2.25,0.0,0.25,0.75,0.75,1.5,2.25,1.25,1.0,0.75,1.0,0.75,0.75,1.0,1.0,0.5,0.75,0.75,1.25,1.0,1.5,1.0,0.75,1.0,0.5,1.0,1.75
60,0.5,1.0,1.75,4.0,4.0,1.0,0.5,0.0,0.25,1.25,1.5,4.0,4.0,2.0,1.25,1.0,0.5,0.25,2.75,4.0,4.0,3.75,4.0,1.0,0.25,3.5,3.75,4.0,3.75,3.5,2.0,1.0,0.75,1.0,1.5,3.25,3.5,2.5,0.25,0.5,0.75,0.75,2.0,2.75,1.75,1.5,1.25,1.0,1.0,1.25,0.75,1.5,1.0,1.0,1.0,1.5,1.5,1.25,1.0,0.75,0.75,1.5,1.0,1.5
61,0.0,0.75,2.0,4.25,3.75,1.0,0.75,0.5,0.5,0.75,1.0,4.25,4.5,1.5,1.0,0.75,0.25,0.5,3.25,4.25,4.25,3.5,2.5,1.0,0.5,3.25,3.75,4.0,3.5,3.5,3.5,2.0,0.5,1.75,1.75,3.0,3.5,2.75,0.25,0.0,1.25,1.0,2.0,2.5,1.5,1.25,1.5,1.25,0.5,1.0,1.0,1.0,1.25,0.75,1.25,1.5,1.5,1.0,1.5,0.75,1.0,1.5,1.0,1.75
62,0.5,0.5,1.75,4.5,3.75,1.25,0.0,0.75,1.0,0.75,1.5,3.75,4.25,1.75,1.0,1.25,0.75,0.75,3.25,4.5,4.0,3.75,2.75,1.5,1.0,3.5,4.0,4.25,3.25,3.5,3.0,1.5,0.75,1.0,1.5,3.5,3.5,2.5,0.25,0.75,1.25,1.0,1.75,2.25,1.75,2.0,0.75,1.25,1.0,1.5,1.0,1.75,0.75,0.75,0.75,1.5,1.5,1.0,1.25,1.0,1.0,0.75,1.25,1.5
63,0.25,0.25,1.5,4.0,3.5,0.75,0.25,0.25,0.5,0.75,1.5,3.5,3.75,2.5,1.75,1.0,0.25,0.25,3.0,4.0,4.5,3.75,3.5,1.0,0.25,3.25,4.0,3.75,3.0,3.0,2.0,0.75,0.25,1.0,1.5,3.25,3.75,2.5,0.25,0.0,1.0,0.0,1.75,2.0,1.75,1.25,1.0,0.75,1.0,1.5,1.0,1.5,0.5,0.5,1.0,1.0,1.25,0.75,1.25,0.75,0.75,1.25,0.75,1.25
64,0.25,0.25,1.5,4.25,3.75,1.25,0.5,0.25,1.0,1.0,1.25,3.5,4.25,2.5,1.25,0.75,0.75,0.25,2.75,4.25,3.75,3.5,3.5,1.0,0.25,3.0,3.5,3.75,3.25,3.75,2.0,0.75,0.5,0.75,1.75,3.25,3.25,2.25,0.0,0.0,0.75,0.75,1.5,2.0,1.75,1.75,0.75,1.0,1.0,1.0,0.5,1.0,0.75,0.75,1.0,1.25,1.25,1.0,1.25,0.5,0.25,0.75,0.5,1.0
65,0.5,1.5,1.75,4.5,4.25,2.0,0.0,1.25,0.5,1.25,1.75,4.25,4.5,2.5,1.75,1.5,0.75,0.75,3.5,3.75,4.5,4.0,2.0,0.75,1.5,4.25,3.75,4.25,4.0,4.0,4.0,2.0,1.0,0.5,1.75,3.75,3.75,3.25,1.0,0.75,1.5,2.0,2.25,2.5,2.0,2.0,1.25,1.25,1.75,1.5,1.25,1.5,1.25,1.0,1.0,1.5,2.0,1.0,1.5,1.25,1.25,1.5,1.0,2.5
66,0.0,0.75,1.5,3.75,4.0,1.5,1.0,1.0,1.0,1.0,1.5,3.75,4.25,1.75,1.25,1.25,1.0,0.75,3.25,3.75,4.0,3.75,1.0,0.5,0.75,4.0,3.5,4.0,4.0,3.5,4.0,1.5,0.75,0.75,1.25,3.5,3.5,2.5,0.75,0.5,0.5,1.5,2.0,2.5,1.75,1.5,0.75,1.0,1.5,1.25,1.25,2.0,0.75,1.25,1.0,1.75,1.5,1.0,1.25,0.75,0.75,1.0,1.0,1.25
67,0.0,1.25,1.75,4.0,4.0,1.25,0.25,0.75,0.5,1.0,1.25,3.5,4.0,1.25,1.0,0.5,0.0,1.0,3.0,3.25,3.25,3.25,1.75,0.5,0.75,2.75,3.25,4.0,3.5,2.75,3.75,1.0,0.25,0.25,1.25,3.25,3.5,2.5,0.5,0.75,0.75,1.25,1.75,2.0,1.75,1.5,0.5,0.5,0.75,0.5,1.0,1.25,0.75,0.75,0.5,1.25,1.25,1.0,1.5,1.0,0.5,0.75,1.25,1.5
68,1.0,0.75,1.75,4.25,4.0,1.0,0.0,0.75,0.25,0.75,1.5,3.5,3.5,1.5,0.75,1.0,0.5,2.75,3.75,4.0,4.0,3.25,1.25,0.25,0.5,2.25,2.75,4.0,3.75,3.25,3.25,1.25,0.75,0.0,0.75,3.0,3.0,2.5,0.25,0.25,1.0,1.25,1.75,2.25,1.5,1.0,1.0,0.25,1.25,1.0,0.5,1.25,0.75,0.75,0.75,1.5,1.25,1.5,1.0,0.75,0.5,0.75,1.0,1.5
69,1.0,1.25,1.75,4.25,4.0,1.25,0.25,0.75,0.75,1.25,2.25,3.25,4.0,1.75,1.25,0.75,0.0,2.5,4.25,4.0,4.25,3.75,1.5,0.75,0.75,3.0,3.5,4.0,4.0,3.75,4.0,1.75,0.25,0.0,1.75,3.5,3.5,2.75,0.25,0.5,1.25,1.5,1.75,2.5,2.0,1.75,1.0,1.25,1.25,1.25,1.5,1.5,1.25,0.75,1.5,1.0,1.75,1.25,1.0,1.0,1.25,0.75,1.25,2.0
70,0.0,0.75,1.75,3.5,3.25,1.0,0.0,0.25,0.5,0.5,1.0,3.25,4.25,1.0,1.0,0.5,0.25,1.75,2.75,3.25,3.5,2.5,1.25,0.0,1.0,2.5,3.0,3.5,3.0,3.25,3.75,1.5,0.0,0.0,1.5,3.0,3.0,2.25,0.25,0.0,0.0,0.5,1.5,1.75,0.75,1.25,0.5,0.75,0.25,0.5,1.0,1.0,0.5,0.0,0.5,0.5,1.0,0.75,0.75,0.5,0.25,1.0,0.75,1.25
71,0.25,1.0,1.75,4.0,4.5,1.5,0.5,1.25,0.5,1.0,1.25,4.0,4.5,1.25,1.5,1.0,0.5,2.0,3.25,3.75,4.25,3.5,1.75,1.0,1.25,2.75,3.5,4.25,3.5,3.5,4.25,1.5,0.75,0.0,1.5,3.25,3.25,2.5,0.75,0.5,1.0,1.0,1.75,2.0,2.0,1.75,1.25,1.5,1.0,1.0,1.25,1.75,1.0,0.5,1.25,1.5,1.0,1.0,1.0,1.0,0.75,1.0,1.25,1.5
72,0.0,0.75,1.75,4.25,3.5,1.25,0.25,0.25,0.75,1.0,2.0,3.5,4.0,1.75,1.75,1.0,0.75,2.5,4.0,4.5,4.5,3.25,1.75,1.0,0.75,3.0,3.5,3.75,3.75,4.0,3.75,1.5,0.5,0.0,1.5,3.5,3.75,2.5,0.75,0.5,1.0,1.5,2.0,2.0,2.0,1.75,1.25,1.0,0.75,1.5,1.25,1.75,0.75,1.0,1.0,1.75,1.75,1.25,1.0,1.0,1.0,1.0,1.25,1.25
73,0.25,1.0,1.75,4.5,4.0,1.25,0.0,0.5,0.75,0.75,1.75,3.25,3.75,1.5,1.5,0.75,0.75,1.75,4.0,4.25,4.25,3.25,1.5,0.75,0.5,3.0,3.0,3.75,3.75,3.75,3.75,1.5,0.25,0.0,1.25,3.0,3.25,2.5,0.25,0.25,0.75,0.5,1.75,1.75,1.75,1.5,0.75,1.25,1.25,1.0,1.25,0.75,0.75,0.75,1.0,1.5,1.25,0.75,1.25,0.75,0.25,1.0,1.0,1.25
74,0.5,0.75,2.0,4.25,4.0,1.25,0.75,1.25,0.75,0.75,2.0,3.25,4.0,1.75,1.0,1.0,1.0,2.0,4.0,4.25,4.0,3.25,2.25,0.75,0.75,3.0,2.75,3.75,4.0,3.75,4.0,1.5,0.0,0.0,1.75,3.5,3.5,2.25,0.75,0.25,1.25,1.0,1.75,2.5,1.5,1.75,1.0,1.5,0.75,1.25,1.0,1.5,0.75,1.0,1.0,1.25,1.0,1.75,1.25,1.25,1.0,1.25,1.25,1.0
75,0.25,0.75,1.5,4.5,4.25,1.5,0.75,0.75,1.0,0.5,1.75,3.5,4.5,1.5,1.5,1.25,0.5,1.5,3.25,3.5,4.0,4.0,1.75,0.0,1.0,3.25,3.25,4.0,4.0,4.0,4.0,1.75,0.75,0.25,1.5,3.5,3.5,2.5,1.0,0.75,1.25,1.25,2.25,2.5,2.25,1.75,1.0,1.25,1.5,1.25,1.25,1.5,1.0,1.0,1.0,1.25,1.5,0.75,1.0,0.75,1.0,1.25,1.25,2.0
76,0.0,1.25,2.0,4.75,4.0,1.5,0.75,1.0,0.75,1.5,2.25,4.0,4.0,1.75,1.75,1.25,1.5,3.0,4.25,4.5,4.5,3.75,2.25,1.25,1.25,3.0,3.0,4.25,4.0,4.0,4.25,2.0,0.75,0.75,1.75,4.0,4.0,2.75,1.0,1.0,1.5,1.25,2.25,2.75,2.0,2.0,1.25,1.25,1.25,1.25,1.25,1.5,1.5,1.0,1.25,2.0,1.75,1.5,1.25,1.0,1.5,1.25,1.75,1.75
77,0.5,1.25,2.0,4.5,3.5,1.25,0.5,0.0,1.25,1.0,2.25,3.75,4.25,2.0,1.5,1.0,0.5,2.5,4.25,4.75,4.25,4.0,2.0,1.0,0.75,3.25,3.0,4.25,4.0,3.5,4.0,1.75,0.25,0.25,1.5,3.0,3.5,2.75,0.75,0.75,1.25,1.0,1.75,2.25,2.0,1.75,1.25,1.75,1.75,1.0,1.25,1.5,1.25,1.0,1.25,1.75,1.75,1.5,1.5,1.25,1.0,1.0,1.5,1.5
78,0.0,0.5,1.75,4.0,4.0,0.5,0.0,0.5,0.75,1.25,2.25,3.5,3.0,1.25,0.5,0.75,0.75,2.25,4.25,3.75,4.0,3.5,1.75,0.75,1.0,3.0,3.0,3.75,3.25,4.0,4.0,1.0,0.25,0.75,1.25,3.25,3.5,2.5,0.75,0.5,0.75,0.75,2.0,1.5,1.0,1.75,1.0,0.75,0.75,1.0,0.75,1.25,0.5,0.75,0.75,1.25,1.5,1.0,1.0,1.0,1.0,0.25,0.5,2.0
79,0.5,0.75,2.0,4.5,4.5,1.25,0.5,1.0,0.0,0.75,1.5,4.0,4.25,1.75,1.25,0.75,0.75,2.0,3.0,3.75,4.25,3.75,1.5,1.0,1.0,3.25,3.25,4.0,4.0,4.0,4.0,1.5,1.0,0.5,1.5,3.0,3.25,2.75,0.75,0.5,1.25,1.5,2.0,2.5,1.75,1.5,1.25,1.75,1.5,1.25,0.75,1.5,0.75,1.0,0.75,1.75,1.0,0.75,1.0,0.5,0.25,1.25,1.25,1.25
80,0.5,1.0,1.25,4.25,4.0,1.0,0.0,0.25,1.0,1.0,1.5,3.5,3.75,1.5,1.25,0.75,0.5,2.0,3.5,3.75,4.0,3.25,1.5,0.75,0.5,3.0,3.0,3.75,3.5,3.25,4.0,1.25,0.5,0.25,1.0,3.25,3.5,2.5,0.0,0.25,1.0,0.75,1.5,2.0,1.5,1.5,1.0,1.0,0.75,0.75,1.25,1.0,0.75,0.75,1.0,1.5,1.5,1.25,0.75,1.25,0.75,0.25,1.0,1.0
81,0.5,1.0,1.75,4.5,3.5,1.5,0.0,0.75,1.0,1.25,2.5,4.0,4.0,1.5,1.0,0.75,0.75,2.5,4.75,4.0,4.25,3.75,1.75,1.0,0.5,3.0,3.25,4.0,4.0,3.5,3.75,1.25,0.75,0.0,1.25,3.25,4.0,2.75,0.5,0.5,1.0,1.5,2.25,2.75,1.75,1.75,1.25,1.5,1.5,1.5,1.25,1.25,0.5,1.0,1.5,1.25,1.25,1.0,1.0,0.5,1.25,0.5,1.5,1.25
82,0.75,0.75,1.5,4.25,3.5,0.75,0.0,0.25,0.5,0.75,1.5,3.75,3.25,1.25,1.0,0.5,0.5,2.25,3.75,4.0,4.25,3.25,1.0,0.5,1.0,3.25,3.0,3.75,3.5,3.0,3.5,1.25,0.0,0.0,1.0,3.0,3.5,2.75,0.75,0.25,0.75,1.25,1.75,2.25,1.5,1.0,0.75,0.25,0.75,1.0,1.0,1.25,0.75,1.25,0.5,1.0,1.5,1.5,0.75,1.0,0.75,1.25,0.75,1.25
83,0.5,0.75,2.0,4.25,4.0,1.0,0.25,0.0,0.5,0.75,1.25,4.0,3.75,1.75,1.25,0.5,0.25,1.0,3.0,3.25,3.75,3.25,1.5,0.5,0.5,2.5,2.75,3.5,3.0,3.5,3.75,1.5,0.0,0.25,1.0,3.0,3.5,2.25,0.25,0.5,0.75,1.25,1.5,1.25,1.25,1.0,0.5,1.25,1.25,0.75,0.75,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.25,0.75,0.5,1.5,1.25,2.0
84,0.25,1.0,1.5,4.25,3.75,1.25,0.0,0.0,1.0,0.75,1.5,3.75,3.5,1.75,1.25,0.75,0.5,2.25,3.75,4.25,4.0,3.5,1.5,0.75,0.75,3.25,3.25,4.0,3.75,3.75,3.75,2.0,0.25,0.25,1.25,3.25,3.75,2.5,1.0,0.5,0.75,1.25,2.25,2.0,1.75,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.75,0.75,1.5,1.5,0.75,1.25,0.75,0.5,0.75,0.75,1.75
85,0.25,0.75,1.75,4.25,3.0,1.0,0.0,0.5,0.75,0.75,1.75,3.25,3.5,1.5,1.25,0.5,0.5,2.5,4.0,4.25,4.0,3.0,1.25,1.0,0.25,2.75,3.25,3.5,3.25,3.5,3.75,1.25,0.5,0.0,0.75,3.0,3.25,2.25,0.25,0.0,0.5,1.0,2.0,2.25,1.25,1.5,0.75,0.75,0.25,1.0,1.0,1.25,0.75,0.75,1.0,1.0,1.25,0.75,0.5,0.75,0.5,1.25,0.75,1.25
86,0.25,0.75,2.0,4.25,3.75,1.0,0.25,0.5,0.25,0.5,1.75,3.25,3.5,1.25,0.5,1.0,0.25,1.5,3.75,3.75,4.0,3.25,1.5,0.5,0.5,3.0,3.5,3.5,3.75,3.25,4.0,1.5,0.0,0.0,0.75,2.75,3.25,2.5,0.0,0.0,0.5,0.75,1.75,2.0,1.75,1.75,1.25,1.0,0.75,0.75,0.75,1.25,0.5,0.5,0.5,1.0,1.25,1.5,1.0,0.75,0.25,0.75,1.0,1.25
87,0.0,1.25,1.75,4.5,4.25,1.5,0.25,0.5,0.75,1.5,1.75,3.75,4.25,2.25,1.75,1.0,0.75,1.5,3.5,4.0,4.25,4.0,2.0,1.0,1.25,3.75,3.25,4.25,4.25,4.0,4.25,2.0,0.25,0.75,1.5,3.25,4.0,2.75,1.0,1.25,1.25,1.25,2.0,2.25,2.0,1.75,0.75,1.25,1.5,1.0,1.5,1.5,0.75,1.0,1.75,1.25,1.5,1.0,1.75,1.25,1.0,1.25,1.25,1.75
88,0.0,1.25,1.25,4.25,3.75,1.25,0.0,0.75,0.5,1.0,1.25,3.75,3.75,1.5,1.5,0.75,0.75,1.5,3.25,3.5,3.75,3.75,1.5,0.5,1.0,3.25,3.25,4.0,3.25,3.25,3.75,1.5,0.75,0.75,1.25,3.25,3.75,2.5,0.5,0.75,1.25,1.25,1.75,2.25,1.75,1.75,1.0,0.75,1.25,1.5,1.0,1.5,1.0,1.0,0.75,1.5,1.5,1.0,1.0,1.0,0.75,0.25,1.0,1.25
89,0.5,0.75,1.75,4.25,3.75,1.5,0.0,1.0,0.75,1.0,1.5,3.75,3.75,1.75,1.5,1.25,0.75,2.0,4.0,4.25,4.5,3.25,2.0,0.0,1.25,3.25,3.25,4.0,4.0,3.75,4.25,1.5,0.25,0.5,0.75,3.0,4.0,2.5,0.75,0.75,1.0,1.25,1.75,2.0,2.0,1.5,0.5,1.0,1.0,1.0,0.75,1.5,1.0,0.5,0.5,1.5,1.25,0.75,1.25,0.75,0.75,1.0,0.75,1.0
90,0.25,0.75,1.0,4.5,3.25,0.75,0.25,0.5,0.25,0.75,1.75,3.25,4.0,1.25,0.75,0.75,0.5,1.75,4.25,4.0,3.75,3.25,1.5,0.75,0.5,2.5,2.5,3.5,3.5,3.25,3.5,1.5,0.75,0.0,1.25,2.75,3.75,2.25,0.5,0.5,0.5,1.25,1.75,2.25,1.25,1.75,0.75,0.75,0.75,1.0,1.25,1.0,0.75,0.5,0.25,1.0,1.0,0.25,0.75,0.25,1.0,1.0,1.0,1.5
91,0.25,0.5,1.75,3.75,3.75,0.75,0.0,0.5,0.5,0.75,1.25,3.5,4.25,1.5,1.25,1.0,0.25,0.75,2.75,3.5,3.75,2.75,1.25,0.0,0.75,3.25,2.75,3.0,3.25,3.5,3.75,0.75,0.25,0.0,1.25,2.75,3.25,2.25,0.5,0.25,0.75,0.75,1.5,1.5,1.5,1.0,0.75,1.0,0.25,0.75,1.0,1.25,0.5,0.75,0.5,0.75,1.0,0.25,1.0,1.0,0.5,1.0,0.75,1.0
92,0.0,1.0,2.0,5.0,3.5,1.0,0.25,0.75,0.75,1.0,1.75,4.5,3.75,1.5,1.25,0.75,0.5,1.25,3.25,3.25,4.0,3.5,1.75,1.0,0.75,3.5,3.25,3.75,3.5,4.0,4.0,1.25,0.25,0.5,1.25,3.5,4.0,2.5,0.5,0.25,0.75,1.0,2.0,2.5,2.0,1.5,0.75,1.25,1.25,1.0,1.5,1.25,0.75,1.0,1.25,1.25,0.75,1.0,1.25,1.25,1.25,0.75,1.0,1.5
93,0.5,0.5,2.25,4.5,3.5,1.0,0.5,0.0,0.5,1.0,1.75,3.75,3.25,2.0,1.25,1.25,0.75,1.75,4.25,4.0,4.5,3.75,1.5,0.25,0.75,3.25,3.25,3.75,3.25,3.5,3.5,1.75,0.5,0.5,1.25,3.25,3.75,2.5,0.75,0.75,1.0,1.0,1.5,2.5,2.0,1.5,0.75,1.25,1.0,0.75,1.5,1.25,1.25,0.75,1.25,1.25,0.75,1.0,1.0,1.25,0.75,1.0,1.0,1.0
94,1.25,0.75,1.75,4.5,3.75,1.25,0.75,0.75,1.0,0.75,1.5,3.5,3.25,1.75,1.5,0.5,0.5,2.25,3.75,4.5,4.0,3.5,1.5,0.5,0.5,3.5,3.25,4.0,4.0,3.5,3.75,1.5,0.5,0.0,1.0,3.0,3.75,2.5,0.5,0.5,1.0,1.25,1.75,2.25,1.5,1.5,0.75,1.25,1.0,1.0,0.5,1.25,1.0,0.5,0.75,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.5
95,0.25,0.75,1.5,4.5,3.25,0.75,0.0,1.0,0.25,0.5,1.25,3.75,3.5,1.5,0.5,0.75,0.25,1.25,2.75,3.5,4.0,3.5,1.0,0.25,0.75,3.25,3.0,3.25,3.0,3.5,3.75,1.0,0.0,0.0,1.25,3.25,3.25,1.75,0.75,0.5,1.0,1.75,1.75,2.25,1.25,1.5,1.0,0.75,1.25,1.0,0.75,1.0,0.75,0.75,0.5,0.5,1.0,0.75,0.75,0.75,0.5,1.0,1.0,1.5
96,0.0,1.0,1.5,4.25,3.25,1.25,0.0,0.75,0.0,0.75,1.5,3.75,3.75,1.25,1.0,0.5,0.25,1.0,3.25,3.0,3.75,2.75,1.5,0.5,0.5,3.0,3.0,3.25,3.5,3.5,3.75,1.75,0.25,0.0,1.0,2.75,3.0,2.25,0.25,0.0,1.5,1.0,1.75,1.75,1.75,1.25,0.5,0.75,1.0,1.0,0.25,1.25,0.5,0.5,1.0,0.5,0.75,1.5,1.0,0.0,0.75,1.0,0.75,1.25
97,0.0,0.75,2.0,4.25,3.0,0.75,0.25,0.5,0.25,0.5,1.75,3.5,3.25,1.75,0.75,0.5,0.25,1.5,3.75,4.0,4.0,3.0,1.0,0.75,0.5,2.75,3.0,3.5,3.25,3.5,3.5,1.0,0.0,0.0,1.0,3.0,3.75,2.5,0.75,0.5,0.5,1.0,1.75,2.25,1.5,1.5,0.25,1.0,0.5,0.75,1.25,1.25,0.5,0.75,1.0,1.0,1.5,1.0,1.0,0.25,0.75,0.75,1.0,0.75
98,0.75,1.25,2.25,5.0,3.75,1.5,0.0,0.75,0.75,1.25,1.75,4.0,4.0,2.0,1.75,1.25,0.75,2.75,4.0,4.25,4.5,3.5,2.0,1.0,1.0,3.25,3.5,4.0,4.25,4.0,4.25,1.75,0.75,0.5,1.75,3.5,3.75,2.75,1.0,0.75,1.0,1.5,2.25,2.5,2.0,1.75,1.5,1.5,1.0,1.5,1.5,1.75,1.0,1.0,1.25,2.0,2.0,1.25,1.75,1.0,1.0,1.5,0.75,1.5
99,0.0,0.5,1.5,4.25,3.25,1.0,0.0,0.75,0.25,0.5,1.5,3.5,3.75,1.5,0.75,0.75,0.5,1.25,3.25,3.5,4.0,3.25,1.5,0.25,0.5,3.0,3.25,3.25,3.0,3.25,3.5,1.0,0.0,0.0,0.75,2.5,3.25,2.5,0.5,0.5,0.5,0.75,1.75,1.75,1.0,1.25,0.75,1.0,1.0,0.5,1.25,0.75,0.75,0.5,0.75,1.25,1.5,1.0,1.25,0.5,0.75,1.0,0.75,0.75
100,0.75,0.75,1.5,4.25,3.5,1.0,0.0,0.5,0.25,1.0,1.0,4.0,3.75,1.5,0.75,0.5,0.5,1.0,2.75,3.0,3.5,3.25,1.5,0.25,0.75,3.0,2.75,3.5,3.75,3.5,3.75,1.25,0.25,0.25,1.25,2.75,3.25,2.25,0.25,0.25,1.0,1.25,1.75,2.0,1.75,1.5,1.0,0.5,1.0,1.5,1.25,1.0,0.25,0.75,1.0,0.75,1.25,1.25,0.75,0.5,1.0,0.75,0.75,1.25
101,1.0,1.25,2.0,5.25,4.0,1.5,0.0,0.75,0.75,1.25,2.0,3.75,4.25,2.0,1.5,1.25,0.75,2.0,4.25,4.75,4.75,3.75,2.25,0.5,0.75,3.75,3.25,4.25,4.0,4.25,4.25,1.75,0.75,0.75,1.5,3.25,4.25,3.0,1.0,0.75,1.75,1.25,2.25,2.75,2.5,2.0,1.5,1.5,1.25,1.5,1.0,1.75,1.25,1.5,1.0,1.25,1.75,1.0,1.5,1.25,1.25,1.25,1.25,2.0
102,0.5,0.75,1.75,4.75,4.25,1.0,0.0,0.5,1.0,1.0,1.5,4.0,4.0,1.75,1.0,0.75,0.75,1.5,3.0,3.75,4.0,3.75,2.25,0.75,1.0,3.25,3.5,4.0,3.5,4.0,3.75,1.5,0.5,0.5,1.5,3.5,3.5,2.25,0.25,0.75,1.25,1.25,2.0,2.5,2.25,1.25,1.25,1.5,1.25,1.5,1.0,1.0,1.0,1.0,1.25,1.25,1.5,1.25,1.5,1.0,1.25,1.0,0.75,2.0
103,0.25,0.5,1.75,4.5,3.5,1.25,0.25,0.75,0.75,1.0,1.0,3.5,4.25,1.25,0.5,1.0,0.5,1.0,3.25,3.5,4.0,3.25,1.5,0.5,0.5,3.25,3.25,3.5,3.5,3.25,3.75,1.0,0.5,0.25,1.0,2.75,3.5,2.0,0.0,0.25,0.25,0.75,1.75,2.0,1.5,1.5,0.5,0.75,1.25,1.0,0.5,1.0,0.75,0.5,0.75,1.0,1.5,0.75,0.25,0.75,0.75,1.0,0.75,0.75
104,0.25,1.0,1.75,4.75,3.5,1.0,0.0,0.75,0.0,0.75,1.5,4.0,3.5,1.75,1.25,1.25,0.25,1.0,2.75,3.25,3.75,3.25,1.5,0.75,1.0,3.25,3.25,3.75,3.5,3.5,3.75,1.25,0.75,0.5,1.25,3.25,3.75,2.5,0.75,0.75,0.75,1.0,1.75,2.0,1.75,1.5,0.75,1.0,0.5,1.0,0.5,1.5,0.75,0.5,0.75,1.25,1.25,1.25,1.0,0.5,0.5,1.25,0.25,1.0
105,0.25,1.0,1.5,5.0,3.5,1.0,0.75,0.0,0.75,1.0,1.75,3.75,4.0,2.0,1.25,1.25,0.5,2.0,4.25,4.0,4.0,3.5,2.0,1.0,0.5,3.25,3.5,3.75,3.5,3.5,3.75,1.25,0.25,0.0,1.75,3.5,3.75,2.5,0.5,0.25,0.75,1.5,2.0,2.0,1.75,1.25,1.25,1.5,1.25,1.25,1.25,1.5,1.0,1.0,0.75,1.25,1.75,1.75,1.5,1.0,1.0,1.0,1.25,1.25
